distance(Å-1)	fre/THz	gvx(m/s)	gvy(m/s)	gvz(m/s)	gv(m/s)	band
0.0	0.8184801163	-20.968210000000003	-350.32343	-201.12073	404.4943998046226	1.0
0.0008755	0.8208359271	-10.94427	-342.15456	-191.55012	392.2766478477159	1.0
0.001751	0.8230434559	1.30236	-331.849	-179.76202999999998	377.41203262785683	1.0
0.0026265	0.8250697715	16.04639	-319.30538	-165.42349000000002	359.96992009438316	1.0
0.003502	0.8268780934	33.54589	-304.47733999999997	-148.17501	340.27578652890924	1.0
0.0043775	0.8284279743	54.01018	-287.40249	-127.64884	319.07917066956617	1.0
0.005253	0.829675921	77.55383	-268.23681	-103.50393	297.7896007453751	1.0
0.0061285	0.8305766547	104.13897000000001	-247.28897	-75.48091	278.7366634132473	1.0
0.007004	0.8310851747	133.51436999999999	-225.04396999999997	-43.47598	265.25654801874015	1.0
0.0078795	0.8311596601	165.16967	-202.16078	-7.6221	261.16679970189034	1.0
0.0087549	0.8307649761	198.32915	-179.42963999999998	31.646530000000002	269.31570750940796	1.0
0.0096304	0.8298762211	232.00591	-157.68473	73.57793000000001	290.008496656884	1.0
0.0105059	0.8284815022	265.11845	-137.6876	117.15681000000001	320.89154842958794	1.0
0.0113814	0.8265831613	296.64264000000003	-120.01484	161.22756	358.3221229424005	1.0
0.0122569	0.8241970741	325.75215000000003	-104.98692000000001	204.65162999999998	398.771872456378	1.0
0.0131324	0.8213502365	351.90464000000003	-92.65787	246.44981	439.49956242925043	1.0
0.0140079	0.8180773364	374.85683	-82.85928	285.89083	478.6615400863706	1.0
0.0148834	0.8144171513	394.62149	-75.27371000000001	322.51547	515.1781052959307	1.0
0.0157589	0.8104094297	411.39452	-69.51028000000001	356.10967	548.5355295504728	1.0
0.0166344	0.806092584	425.4792	-65.16486	386.65088000000003	578.5999581889321	1.0
0.0175099	0.8015022281	437.22389000000004	-61.85894	414.24895	605.4696119713674	1.0
0.0183854	0.7966704232	446.97864999999996	-59.259499999999996	439.09450999999996	629.3692005557729	1.0
0.0192609	0.7916254297	455.06939	-57.08518	461.41971	650.5805225082354	1.0
0.0201364	0.7863917814	461.78519	-55.1044	481.4715	669.4003748990182	1.0
0.0210119	0.780990538	467.37427	-53.12954	499.49490000000003	686.117053719447	1.0
0.0218874	0.7754396166	472.04503000000005	-51.00979	515.72363	700.9988384897096	1.0
0.0227629	0.7697541435	475.96968000000004	-48.62413	530.37561	714.2896681182161	1.0
0.0236384	0.7639467899	479.28881	-45.87523	543.65141	726.2087549140103	1.0
0.0245139	0.7580280781	482.11614000000003	-42.68424	555.73446	736.952309735419	1.0
0.0253893	0.7520066497	484.54287999999997	-38.98676	566.7921699999999	746.6961456893299	1.0
0.0262648	0.7458894977	486.64164000000005	-34.72956	576.97738	755.5985211415833	1.0
0.0271403	0.7396821636	488.46972	-29.8682	586.42994	763.8028876984703	1.0
0.0280158	0.7333889058	490.07196000000005	-24.36508	595.2782	771.4404179824181	1.0
0.0288913	0.7270128422	491.48299	-18.18815	603.64034	778.6321328683258	1.0
0.0297668	0.720556071	492.72920999999997	-11.30987	611.62549	785.4907558745559	1.0
0.0306423	0.7140197756	493.83034	-3.70647	619.33469	792.1222133369147	1.0
0.0315178	0.7074043143	494.80071	4.64249	626.86169	798.6268676419296	1.0
0.0323933	0.7007092994	495.65037	13.75447	634.29351	805.100448114543	1.0
0.0332688	0.6939336679	496.38597999999996	23.644119999999997	641.7109	811.6347483504786	1.0
0.0341443	0.6870757448	497.01152	34.32338	649.18875	818.3181401838146	1.0
0.0350198	0.6801333014	497.52894999999995	45.80147	656.79624	825.2358036466916	1.0
0.0358953	0.6731036096	497.93874000000005	58.084880000000005	664.5971000000001	832.4699078079713	1.0
0.0367708	0.6659834939	498.24028	71.17726	672.6496199999999	840.099452589829	1.0
0.0376463	0.6587693807	498.4323	85.07930999999999	681.00676	848.2001260546143	1.0
0.0385218	0.6514573458	498.51314999999994	99.78869	689.71615	856.8439244959732	1.0
0.0393973	0.644043162	498.48112999999995	115.29989	698.82007	866.0987194511339	1.0
0.0402728	0.6365223449	498.33467999999993	131.60412	708.35545	876.0277057470154	1.0
0.0411483	0.6288901984	498.07259000000005	148.68923999999998	718.3538699999999	886.6888279126238	1.0
0.0420238	0.62114186	497.69417999999996	166.53964000000002	728.84154	898.1341430581367	1.0
0.0428992	0.6132723451	497.19944	185.13626000000002	739.83928	910.4091817056876	1.0
0.0437747	0.6052765909	496.58909	204.45656	751.3626300000001	923.5523867082899	1.0
0.0446502	0.5971494996	495.86474000000004	224.47450999999998	763.42184	937.5945561936637	1.0
0.0455257	0.5888859803	495.02889999999996	245.16072000000003	776.02197	952.5583910652456	1.0
0.0464012	0.5804809904	494.08500999999995	266.48248	789.16304	968.4581627286188	1.0
0.0472767	0.5719295747	493.03747	288.40393	802.84017	985.2995038205768	1.0
0.0481522	0.563226904	491.89162	310.88621	817.04375	1003.079304346596	1.0
0.0490277	0.5543683109	490.65373	333.88768999999996	831.7596699999999	1021.7857999282227	1.0
0.0499032	0.5453493241	489.33090999999996	357.36414	846.96954	1041.3987083375798	1.0
0.0507787	0.5361657007	487.93111	381.26905999999997	862.65099	1061.8896339860823	1.0
0.0516542	0.5268134554	486.46295999999995	405.55388	878.77794	1083.222428158529	1.0
0.0525297	0.5172888882	484.93576	430.16826999999995	895.32089	1105.353756908603	1.0
0.0534052	0.5075886092	483.35932	455.06045000000006	912.2472500000001	1128.2337038564428	1.0
0.0542807	0.4977095604	481.74387	480.17744000000005	929.5216800000001	1151.8064437037817	1.0
0.0551562	0.4876490355	480.09995	505.46538	947.10637	1176.010921914896	1.0
0.0560317	0.4774046973	478.43829	530.86978	964.9613999999999	1200.7815888600776	1.0
0.0569072	0.4669745921	476.76967	556.3358400000001	983.04506	1226.0491324130605	1.0
0.0577827	0.4563571619	475.10481000000004	581.80866	1001.31411	1251.7411250818693	1.0
0.0586582	0.4455512548	473.45428	607.23348	1019.7241200000001	1277.7827418591173	1.0
0.0595336	0.4345561328	471.82833000000005	632.55591	1038.22973	1304.0973600626564	1.0
0.0604091	0.4233714778	470.2368	657.72212	1056.78491	1330.6071475891156	1.0
0.0612846	0.4119973962	468.68906	682.6790100000001	1075.34319	1357.2335988832724	1.0
0.0621601	0.4004344211	467.19381999999996	707.37434	1093.85789	1383.897975232235	1.0
0.0630356	0.3886835141	465.75914	731.75689	1112.2823199999998	1410.5217764857778	1.0
0.0639111	0.376746065	464.39228	755.77651	1130.56993	1437.0270315521498	1.0
0.0647866	0.3646238908	463.09962999999993	779.38428	1148.67451	1463.3366848203443	1.0
0.0656621	0.3523192339	461.88669000000004	802.53248	1166.5502800000002	1489.3747854795263	1.0
0.0665376	0.3398347593	460.758	825.1747399999999	1184.15205	1515.0667852003323	1.0
0.0674131	0.3271735508	459.71704000000005	847.26602	1201.4353	1540.339652673751	1.0
0.0682886	0.3143391069	458.7663	868.76266	1218.3563100000001	1565.1220960496282	1.0
0.0691641	0.3013353363	457.90716	889.6223900000001	1234.8722	1589.3446178539814	1.0
